instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
f,98.755765,j,1,4.906325,,0,0,0,0,1,0,4,0,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.62165,,0,1,1,1,1,1,5,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.04732,,0,2,2,2,1,0,1,0,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,0,1.93367,,0,3,3,3,1,0,3,0,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.240395,,0,4,4,4,1,0,6,0,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.01725,,0,5,5,5,1,0,7,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.982655,,0,6,6,6,1,1,0,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.722135,,0,7,7,7,1,0,7,1,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.716775,,0,8,8,8,1,0,0,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.375015,,0,9,9,9,1,1,1,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.93901,,0,10,10,10,1,1,2,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.28424,,0,11,11,11,1,1,3,2,A_12_MT,12,18,2021-01-26_21h02.33.645,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
