instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,18.866,j,1,2.756,,0,0,0,0,1,0,0,0,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,3.967,,0,1,1,1,1,0,7,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,2.733,,0,2,2,2,1,0,6,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.431,,0,3,3,3,1,1,5,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.88,,0,4,4,4,1,1,6,1,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,2.245,,0,5,5,5,1,0,5,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,2.311,,0,6,6,6,1,1,4,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,2.45,,0,7,7,7,1,0,3,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,3.062,,0,8,8,8,1,1,2,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.351,,0,9,9,9,1,0,1,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.636,,0,10,10,10,1,1,2,1,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.297,,0,11,11,11,1,1,1,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.866,,0,12,12,12,1,1,0,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.503,,0,13,13,13,1,1,7,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.923,,0,14,14,14,1,0,6,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,2.79,,0,15,15,15,1,0,5,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.37,,0,16,16,16,1,1,4,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.149,,0,17,17,17,1,1,4,0,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,8.523,,0,18,18,18,1,1,3,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.806,,0,19,19,19,1,1,2,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.201,,0,20,20,20,1,0,1,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,2.24,,0,21,21,21,1,0,0,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,3.302,,0,22,22,22,1,1,2,0,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.686,,0,23,23,23,1,1,1,2,A_10_YFL,10,18,2021-02-07_21h22.07.549,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
