instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,24.818,f,1,0.759,,0,0,0,0,1,1,2,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.471,,0,1,1,1,1,0,6,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.736,,0,2,2,2,1,1,5,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.536,,0,3,3,3,1,0,7,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.673,,0,4,4,4,1,1,6,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.543,,0,5,5,5,1,0,5,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.64,,0,6,6,6,1,0,4,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,0,0.678,,0,7,7,7,1,1,6,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.428,,0,8,8,8,1,0,0,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.533,,0,9,9,9,1,0,7,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.659,,0,10,10,10,1,0,6,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,0.496,,0,11,11,11,1,0,5,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.608,,0,12,12,12,1,0,3,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.742,,0,13,13,13,1,1,1,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.616,,0,14,14,14,1,0,0,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.728,,0,15,15,15,1,0,7,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.458,,0,16,16,16,1,0,6,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.465,,0,17,17,17,1,1,5,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.664,,0,18,18,18,1,1,4,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.476,,0,19,19,19,1,0,5,1,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,0.627,,0,20,20,20,1,0,3,0,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.727,,0,21,21,21,1,1,2,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.991,,0,22,22,22,1,1,1,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.014,,0,23,23,23,1,0,0,2,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.224,,0,24,24,24,1,0,1,1,A_05_CB,5,18,2021-01-26_10h27.38.148,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
