instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,45.895195,f,1,2.3339,,0,0,0,0,1,1,4,0,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.33872,,0,1,1,1,1,0,3,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.42955,,0,2,2,2,1,0,3,0,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.734845,,0,3,3,3,1,0,2,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.089305,,0,4,4,4,1,1,3,1,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.085585,,0,5,5,5,1,1,2,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.76879,,0,6,6,6,1,0,1,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.61855,,0,7,7,7,1,0,0,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.64975,,0,8,8,8,1,0,7,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.53816,,0,9,9,9,1,0,2,0,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.76665,,0,10,10,10,1,1,3,1,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.059585,,0,11,11,11,1,0,2,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.94629,,0,12,12,12,1,1,1,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.75954,,0,13,13,13,1,0,0,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.742635,,0,14,14,14,1,0,7,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.815215,,0,15,15,15,1,0,0,1,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.683525,,0,16,16,16,1,1,7,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.872815,,0,17,17,17,1,1,6,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.80715,,0,18,18,18,1,1,5,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.982385,,0,19,19,19,1,0,4,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.97186,,0,20,20,20,1,1,3,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.307185,,0,21,21,21,1,1,0,0,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.649385,,0,22,22,22,1,1,7,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.23184,,0,23,23,23,1,1,6,2,A_02_JM,2,32,2021-01-31_14h02.37.375,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
