instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,17.140405,f,1,1.239675,,0,0,0,0,1,1,3,0,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.911565,,0,1,1,1,1,1,4,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.599825,,0,2,2,2,1,1,4,0,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,0.780365,,0,3,3,3,1,0,5,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,0.95885,,0,4,4,4,1,0,6,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.81592,,0,5,5,5,1,1,5,1,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.668815,,0,6,6,6,1,1,4,1,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,0.611945,,0,7,7,7,1,0,5,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.857585,,0,8,8,8,1,1,3,0,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.551485,,0,9,9,9,1,1,4,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,1.001935,,0,10,10,10,1,0,3,1,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.58062,,0,11,11,11,1,1,4,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,1.016065,,0,12,12,12,1,1,5,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,0.898195,,0,13,13,13,1,0,6,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.83202,,0,14,14,14,1,1,7,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.786815,,0,15,15,15,1,1,0,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.827495,,0,16,16,16,1,1,1,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,0.482985,,0,17,17,17,1,0,2,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,1.049225,,0,18,18,18,1,0,1,1,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,1.16966,,0,19,19,19,1,0,2,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,1.011305,,0,20,20,20,1,1,3,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.665505,,0,21,21,21,1,1,4,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.704515,,0,22,22,22,1,1,5,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.67343,,0,23,23,23,1,1,6,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.65454,,0,24,24,24,1,1,7,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,f,1,0.899055,,0,25,25,25,1,1,0,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
,,j,1,1.00787,,0,26,26,26,1,0,1,2,A_23_MMB,23,17,2021-03-07_09h02.02.765,dyntargetnodist,2020.1.2,Linux x86_64,60,,,,,,,
