tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,67.85509599999978,58.82349699999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
1,1,2,6,1,1,0,1,0,0,0,0,,,,,58.82349699999986,None,126.84043229999997,None,j,1,1.6446242999995775,127.72251809999989,None,127.72251809999989,None,129.3929045,None,None,129.88694123999994,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
1,3,2,5,1,3,0,1,0,1,1,1,,,,,,,129.88656549999996,None,j,1,1.7759467999999288,130.88663459999998,None,130.88663459999998,None,132.6739507999996,None,None,133.18007013999977,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
2,5,2,4,1,3,0,0,0,2,2,2,,,,,,,133.1800731999997,None,f,1,1.347389000000021,134.17982949999987,None,134.17982949999987,None,135.54432159999988,None,None,136.04973613999982,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
2,4,2,3,1,3,0,0,0,3,3,3,,,,,,,136.0493876999999,None,f,1,1.4216343999996752,137.04951809999966,None,137.04951809999966,None,138.48433979999982,None,None,138.98961893999967,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
2,3,1,2,1,3,1,0,0,4,4,4,,,,,,,138.99005699999998,None,f,1,1.4893417000002955,139.98979680000002,None,139.98979680000002,None,141.49527820000003,None,None,142.00086003999968,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
2,0,1,3,1,2,1,0,0,5,5,5,,,,,,,142.00051659999963,None,f,1,2.2220406999999796,143.00067619999982,None,143.00067619999982,None,145.23534849999987,None,None,145.7404996399996,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
1,7,2,2,1,3,1,1,0,6,6,6,,,,,,,145.74096229999986,None,j,1,2.929913200000101,146.74062679999997,None,146.74062679999997,None,149.68051829999968,None,None,150.18620243999976,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
1,3,2,1,2,3,0,1,0,7,7,7,,,,,,,150.1865654999997,None,f,0,3.092804899999919,151.1859454999999,None,151.1859454999999,None,154.29014659999984,None,None,154.79695083999968,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
2,4,1,2,1,2,0,0,0,8,8,8,,,,,,,154.79692569999997,None,f,1,0.9942156000001887,155.79630849999967,None,155.79630849999967,None,156.80775589999985,None,None,157.31383233999986,None,,,,,,,,,,,,,,,,,,,,B_06_NS,6,27,M,2021_Jun_11_1318,dyndist,2020.2.10,85.0262773709392,
