tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,34.363851899999986,89.63853640000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,1,1,4,1,1,0,1,0,0,0,0,,,,,89.63853640000002,None,124.15625209999999,None,f,1,0.6280487999999878,125.03813010000002,None,125.03813010000002,None,125.6968393,None,None,126.19035013,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,4,1,3,1,3,1,0,0,1,1,1,,,,,,,126.19078620000002,None,f,0,0.8643074000000297,127.2018598,None,127.2018598,None,128.0960883,None,None,128.58962063,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,5,2,2,1,3,1,1,0,2,2,2,,,,,,,128.5901132,None,f,1,0.8929500999999505,129.5897581,None,129.5897581,None,130.49498230000003,None,None,131.00104873000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,7,1,1,1,3,0,1,0,3,3,3,,,,,,,131.00110120000002,None,j,1,0.6106027000000154,132.0004049,None,132.0004049,None,132.62373980000004,None,None,133.12941703,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,2,2,0,2,3,0,1,0,4,4,4,,,,,,,133.1294761,None,f,1,0.59322370000001,134.1295595,None,134.1295595,None,134.7411311,None,None,135.24681423000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,0,2,7,1,3,0,1,0,5,5,5,,,,,,,135.24648290000002,None,f,1,0.6042769999999678,136.24649960000002,None,136.24649960000002,None,136.8698939,None,None,137.37558483000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,0,1,6,2,3,0,1,0,6,6,6,,,,,,,137.3756863,None,f,1,0.5071316000000365,138.37503390000003,None,138.37503390000003,None,138.8928152,None,None,139.39810463000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,0,2,5,1,3,1,1,0,7,7,7,,,,,,,139.3985461,None,j,1,0.6115889000000152,140.39854499999998,None,140.39854499999998,None,141.02157990000003,None,None,141.52725113000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,6,1,4,2,3,1,1,0,8,8,8,,,,,,,141.5269216,None,f,0,0.7716538000000241,142.52712160000002,None,142.52712160000002,None,143.31500360000004,None,None,143.82067473,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,5,2,3,2,3,0,0,0,9,9,9,,,,,,,143.8208407,None,f,1,0.4463004999999498,144.8204233,None,144.8204233,None,145.2791139,None,None,145.78478933000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,5,1,0,1,1,1,0,0,10,10,10,,,,,,,145.78445860000002,None,j,1,0.5300343999999768,146.7841503,None,146.7841503,None,147.32515960000003,None,None,147.83121143,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,7,2,4,3,1,1,1,0,11,11,11,,,,,,,147.8308954,None,f,1,0.6800174999999626,148.84274640000004,None,148.84274640000004,None,149.5362618,None,None,150.04233363000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,7,1,3,1,3,1,1,0,12,12,12,,,,,,,150.04236620000003,None,j,1,0.4645264000000111,151.0416784,None,151.0416784,None,151.52427400000002,None,None,152.02995663000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,6,1,2,1,3,0,1,0,13,13,13,,,,,,,152.0300038,None,j,1,0.6368402999999603,153.0293139,None,153.0293139,None,153.6764181,None,None,154.18224583,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,5,2,1,1,3,1,1,0,14,14,14,,,,,,,154.1823092,None,f,1,0.6605504999999994,155.1815984,None,155.1815984,None,155.86413590000004,None,None,156.36950583000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,3,1,0,1,3,1,0,0,15,15,15,,,,,,,156.3695011,None,j,1,0.45754790000000867,157.3691792,None,157.3691792,None,157.83999810000003,None,None,158.34568213,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,4,2,3,1,1,1,1,0,16,16,16,,,,,,,158.3453461,None,f,1,0.5770799000000011,159.3450481,None,159.3450481,None,159.9330937,None,None,160.43915583,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,3,2,2,1,3,1,0,0,17,17,17,,,,,,,160.4392255,None,j,1,0.5956501000000003,161.43852440000003,None,161.43852440000003,None,162.0503441,None,None,162.55617743000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,7,1,1,1,3,1,0,0,18,18,18,,,,,,,162.5560662,None,f,1,0.44664389999996956,163.5555292,None,163.5555292,None,164.01445470000002,None,None,164.52021673000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,2,1,0,2,3,1,1,0,19,19,19,,,,,,,164.52033250000002,None,f,1,0.45114330000001246,165.5196346,None,165.5196346,None,165.99008470000004,None,None,166.49575843000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,4,1,1,1,2,0,0,0,20,20,20,,,,,,,166.49581280000004,None,j,1,0.42666260000004286,167.4955113,None,167.4955113,None,167.9424359,None,None,168.44810663000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,3,2,2,1,2,0,1,0,21,21,21,,,,,,,168.4481638,None,j,1,0.506284600000015,169.4478554,None,169.4478554,None,169.9653458,None,None,170.47102543,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,7,1,1,1,3,1,1,0,22,22,22,,,,,,,170.47115290000002,None,j,0,0.5320341999999982,171.4707741,None,171.4707741,None,172.02355250000002,None,None,172.52961143000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,4,1,2,1,2,1,1,0,23,23,23,,,,,,,172.5296635,None,j,1,0.6491900999999984,173.5289809,None,173.5289809,None,174.19935110000003,None,None,174.70543243000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,0,2,1,1,3,1,0,0,24,24,24,,,,,,,174.7050834,None,j,1,0.48941299999995636,175.7047813,None,175.7047813,None,176.21050750000003,None,None,176.71618593,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,2,2,0,2,3,1,0,0,25,25,25,,,,,,,176.7166625,None,j,1,0.4142256999999745,177.71593950000002,None,177.71593950000002,None,178.15147600000003,None,None,178.65716283,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,1,2,7,2,3,1,0,0,26,26,26,,,,,,,178.65721340000002,None,f,1,0.9536285000000362,179.6565209,None,179.6565209,None,180.6209327,None,None,181.12661013000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,3,2,6,1,3,1,0,0,27,27,27,,,,,,,181.12708340000003,None,f,1,0.4998332999999775,182.1263605,None,182.1263605,None,182.64422950000002,None,None,183.14991363000001,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,7,2,5,2,3,1,0,0,28,28,28,,,,,,,183.1495801,None,f,1,0.46087670000002845,184.14928140000004,None,184.14928140000004,None,184.63193800000002,None,None,185.13755463,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,2,1,4,1,3,0,1,0,29,29,29,,,,,,,185.13758950000002,None,f,1,0.5372791000000348,186.1369081,None,186.1369081,None,186.68968329999998,None,None,187.19575343000002,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,1,1,3,1,3,1,0,0,30,30,30,,,,,,,187.19580320000003,None,j,1,0.4950531000000069,188.1951104,None,188.1951104,None,188.70121050000003,None,None,189.20690383000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,7,1,5,1,1,1,1,0,31,31,31,,,,,,,189.2069377,None,j,0,0.5479004999999688,190.20626860000002,None,190.20626860000002,None,190.7708067,None,None,191.27646653000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,6,1,4,2,3,1,0,0,32,32,32,,,,,,,191.27657050000002,None,f,1,0.6385285000000067,192.27621840000003,None,192.27621840000003,None,192.93484680000003,None,None,193.44075233,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,2,1,3,1,3,1,1,0,33,33,33,,,,,,,193.4409729,None,j,0,0.5378996999999686,194.4402769,None,194.4402769,None,194.99307060000004,None,None,195.49911763,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,1,1,2,1,3,0,0,0,34,34,34,,,,,,,195.49915769999998,None,j,1,0.6077072000000499,196.4984676,None,196.4984676,None,197.1218061,None,None,197.62786393000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,6,2,2,1,1,1,0,0,35,35,35,,,,,,,197.6275411,None,f,1,0.7829250999999999,198.6272311,None,198.6272311,None,199.4273815,None,None,199.93306713000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,4,2,1,1,3,0,0,0,36,36,36,,,,,,,199.9331185,None,j,1,0.4777345999999625,200.93242340000003,None,200.93242340000003,None,201.42681860000002,None,None,201.93243313000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,3,1,0,1,3,0,1,0,37,37,37,,,,,,,201.93211270000003,None,j,1,0.5109888999999725,202.93180960000004,None,202.93180960000004,None,203.46105710000003,None,None,203.96673543000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,6,2,2,1,1,1,0,0,38,38,38,,,,,,,203.9667952,None,j,0,0.7316675999999802,204.96649220000003,None,204.96649220000003,None,205.7192451,None,None,206.22525763000004,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,3,1,6,2,1,0,0,0,39,39,39,,,,,,,206.2253122,None,f,1,0.5215526000000068,207.2246231,None,207.2246231,None,207.7660228,None,None,208.27169443000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,3,2,5,1,3,1,0,0,40,40,40,,,,,,,208.2717607,None,f,1,0.4437881000000061,209.271061,None,209.271061,None,209.730152,None,None,210.23582053,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,2,1,4,1,3,0,1,0,41,41,41,,,,,,,210.2359284,None,f,1,0.7189895000000206,211.2351717,None,211.2351717,None,211.96436560000004,None,None,212.47043743,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,4,1,3,1,3,1,1,0,42,42,42,,,,,,,212.47060360000003,None,f,1,0.42104069999999183,213.4697887,None,213.4697887,None,213.905357,None,None,214.41100933,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,0,1,2,1,3,0,1,0,43,43,43,,,,,,,214.41106830000004,None,j,0,0.6399463000000196,215.410765,None,215.410765,None,216.0693833,None,None,216.57505573000003,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,7,2,1,1,3,0,1,0,44,44,44,,,,,,,216.5747325,None,f,0,0.9559615999999664,217.5748583,None,217.5748583,None,218.55099140000002,None,None,219.05667773000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,4,1,0,1,3,1,0,0,45,45,45,,,,,,,219.05671320000002,None,j,0,0.6343646999999919,220.0564514,None,220.0564514,None,220.7032654,None,None,221.20855603,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
2,4,1,7,1,3,0,1,0,46,46,46,,,,,,,221.20900020000002,None,f,1,0.46612279999999373,222.2086937,None,222.2086937,None,222.7022769,None,None,223.19657793000005,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
1,3,1,6,1,3,0,1,0,47,47,47,,,,,,,223.19669690000003,None,j,1,0.5418397999999911,224.1963266,None,224.1963266,None,224.74871350000004,None,None,225.25478453,None,,,,,,,,,,,,,,,,,,,,B_14_SY,14,24,F,2021_Jun_04_1419,dyndist,2020.2.10,85.02548213700244,
